boundary,filmfest_offset,TR_offset,consensus_offset
False,1134,756,0
False,1135,757,1
False,1136,757,2
False,1137,758,3
False,1138,759,4
False,1139,759,5
False,1140,760,6
True,1141,761,7
True,1142,761,8
False,1143,762,9
False,1144,763,10
False,1145,763,11
False,1146,764,12
False,1147,765,13
False,1148,765,14
False,1149,766,15
False,1150,767,16
True,1151,767,17
False,1152,768,18
False,1153,769,19
True,1154,769,20
False,1155,770,21
False,1156,771,22
False,1157,771,23
False,1158,772,24
False,1159,773,25
False,1160,773,26
False,1161,774,27
False,1162,775,28
False,1163,775,29
False,1164,776,30
False,1165,777,31
False,1166,777,32
False,1167,778,33
False,1168,779,34
False,1169,779,35
False,1170,780,36
False,1171,781,37
False,1172,781,38
False,1173,782,39
False,1174,783,40
False,1175,783,41
False,1176,784,42
False,1177,785,43
False,1178,785,44
False,1179,786,45
False,1180,787,46
False,1181,787,47
False,1182,788,48
False,1183,789,49
False,1184,789,50
False,1185,790,51
False,1186,791,52
False,1187,791,53
False,1188,792,54
False,1189,793,55
False,1190,793,56
False,1191,794,57
False,1192,795,58
False,1193,795,59
True,1194,796,60
True,1195,797,61
False,1196,797,62
False,1197,798,63
False,1198,799,64
False,1199,799,65
False,1200,800,66
False,1201,801,67
False,1202,801,68
False,1203,802,69
False,1204,803,70
False,1205,803,71
False,1206,804,72
False,1207,805,73
False,1208,805,74
False,1209,806,75
False,1210,807,76
False,1211,807,77
False,1212,808,78
False,1213,809,79
False,1214,809,80
True,1215,810,81
False,1216,811,82
False,1217,811,83
False,1218,812,84
False,1219,813,85
False,1220,813,86
False,1221,814,87
False,1222,815,88
False,1223,815,89
False,1224,816,90
False,1225,817,91
False,1226,817,92
False,1227,818,93
False,1228,819,94
True,1229,819,95
False,1230,820,96
False,1231,821,97
False,1232,821,98
False,1233,822,99
False,1234,823,100
False,1235,823,101
False,1236,824,102
False,1237,825,103
False,1238,825,104
False,1239,826,105
False,1240,827,106
False,1241,827,107
False,1242,828,108
False,1243,829,109
False,1244,829,110
False,1245,830,111
False,1246,831,112
False,1247,831,113
False,1248,832,114
False,1249,833,115
False,1250,833,116
True,1251,834,117
False,1252,835,118
False,1253,835,119
False,1254,836,120
False,1255,837,121
False,1256,837,122
False,1257,838,123
False,1258,839,124
False,1259,839,125
False,1260,840,126
False,1261,841,127
False,1262,841,128
False,1263,842,129
False,1264,843,130
False,1265,843,131
False,1266,844,132
False,1267,845,133
False,1268,845,134
False,1269,846,135
False,1270,847,136
False,1271,847,137
False,1272,848,138
True,1273,849,139
True,1274,849,140
False,1275,850,141
False,1276,851,142
False,1277,851,143
False,1278,852,144
False,1279,853,145
False,1280,853,146
False,1281,854,147
False,1282,855,148
False,1283,855,149
False,1284,856,150
False,1285,857,151
False,1286,857,152
False,1287,858,153
False,1288,859,154
False,1289,859,155
False,1290,860,156
False,1291,861,157
False,1292,861,158
False,1293,862,159
False,1294,863,160
False,1295,863,161
False,1296,864,162
False,1297,865,163
False,1298,865,164
False,1299,866,165
False,1300,867,166
False,1301,867,167
False,1302,868,168
False,1303,869,169
False,1304,869,170
False,1305,870,171
False,1306,871,172
False,1307,871,173
False,1308,872,174
False,1309,873,175
False,1310,873,176
False,1311,874,177
False,1312,875,178
False,1313,875,179
False,1314,876,180
False,1315,877,181
False,1316,877,182
False,1317,878,183
False,1318,879,184
False,1319,879,185
False,1320,880,186
False,1321,881,187
False,1322,881,188
False,1323,882,189
False,1324,883,190
False,1325,883,191
False,1326,884,192
False,1327,885,193
False,1328,885,194
False,1329,886,195
False,1330,887,196
False,1331,887,197
False,1332,888,198
False,1333,889,199
False,1334,889,200
False,1335,890,201
False,1336,891,202
False,1337,891,203
False,1338,892,204
False,1339,893,205
False,1340,893,206
False,1341,894,207
False,1342,895,208
False,1343,895,209
True,1344,896,210
False,1345,897,211
False,1346,897,212
False,1347,898,213
False,1348,899,214
False,1349,899,215
False,1350,900,216
