boundary,filmfest_offset,TR_offset,consensus_offset
False,783,522,0
False,784,523,1
False,785,523,2
False,786,524,3
False,787,525,4
False,788,525,5
False,789,526,6
True,790,527,7
False,791,527,8
False,792,528,9
False,793,529,10
False,794,529,11
False,795,530,12
False,796,531,13
False,797,531,14
False,798,532,15
False,799,533,16
False,800,533,17
False,801,534,18
False,802,535,19
False,803,535,20
False,804,536,21
True,805,537,22
False,806,537,23
False,807,538,24
False,808,539,25
False,809,539,26
False,810,540,27
False,811,541,28
False,812,541,29
False,813,542,30
False,814,543,31
False,815,543,32
False,816,544,33
False,817,545,34
False,818,545,35
True,819,546,36
True,820,547,37
False,821,547,38
False,822,548,39
False,823,549,40
False,824,549,41
True,825,550,42
False,826,551,43
False,827,551,44
False,828,552,45
False,829,553,46
False,830,553,47
False,831,554,48
False,832,555,49
False,833,555,50
False,834,556,51
False,835,557,52
False,836,557,53
False,837,558,54
False,838,559,55
False,839,559,56
False,840,560,57
False,841,561,58
False,842,561,59
False,843,562,60
False,844,563,61
False,845,563,62
False,846,564,63
False,847,565,64
False,848,565,65
False,849,566,66
True,850,567,67
True,851,567,68
False,852,568,69
False,853,569,70
False,854,569,71
False,855,570,72
False,856,571,73
False,857,571,74
False,858,572,75
False,859,573,76
False,860,573,77
False,861,574,78
False,862,575,79
False,863,575,80
False,864,576,81
False,865,577,82
False,866,577,83
False,867,578,84
False,868,579,85
False,869,579,86
False,870,580,87
True,871,581,88
True,872,581,89
False,873,582,90
False,874,583,91
False,875,583,92
False,876,584,93
False,877,585,94
False,878,585,95
False,879,586,96
False,880,587,97
False,881,587,98
False,882,588,99
False,883,589,100
False,884,589,101
False,885,590,102
False,886,591,103
True,887,591,104
True,888,592,105
False,889,593,106
False,890,593,107
False,891,594,108
False,892,595,109
False,893,595,110
False,894,596,111
False,895,597,112
False,896,597,113
False,897,598,114
False,898,599,115
False,899,599,116
True,900,600,117
False,901,601,118
False,902,601,119
False,903,602,120
False,904,603,121
False,905,603,122
False,906,604,123
False,907,605,124
False,908,605,125
False,909,606,126
False,910,607,127
False,911,607,128
False,912,608,129
False,913,609,130
False,914,609,131
False,915,610,132
False,916,611,133
False,917,611,134
False,918,612,135
False,919,613,136
False,920,613,137
False,921,614,138
True,922,615,139
True,923,615,140
False,924,616,141
False,925,617,142
False,926,617,143
False,927,618,144
False,928,619,145
False,929,619,146
False,930,620,147
False,931,621,148
False,932,621,149
False,933,622,150
False,934,623,151
False,935,623,152
False,936,624,153
False,937,625,154
False,938,625,155
False,939,626,156
False,940,627,157
False,941,627,158
False,942,628,159
False,943,629,160
False,944,629,161
False,945,630,162
False,946,631,163
False,947,631,164
False,948,632,165
False,949,633,166
False,950,633,167
False,951,634,168
