boundary,filmfest_offset,TR_offset,consensus_offset
False,529,353,-1
False,530,353,0
False,531,354,1
False,532,355,2
False,533,355,3
False,534,356,4
False,535,357,5
False,536,357,6
False,537,358,7
False,538,359,8
True,539,359,9
True,540,360,10
False,541,361,11
False,542,361,12
False,543,362,13
False,544,363,14
False,545,363,15
False,546,364,16
False,547,365,17
False,548,365,18
False,549,366,19
False,550,367,20
False,551,367,21
False,552,368,22
False,553,369,23
False,554,369,24
False,555,370,25
False,556,371,26
False,557,371,27
False,558,372,28
False,559,373,29
False,560,373,30
False,561,374,31
True,562,375,32
False,563,375,33
False,564,376,34
False,565,377,35
False,566,377,36
False,567,378,37
False,568,379,38
False,569,379,39
False,570,380,40
False,571,381,41
False,572,381,42
False,573,382,43
False,574,383,44
False,575,383,45
False,576,384,46
False,577,385,47
False,578,385,48
False,579,386,49
False,580,387,50
False,581,387,51
False,582,388,52
True,583,389,53
False,584,389,54
False,585,390,55
False,586,391,56
False,587,391,57
False,588,392,58
False,589,393,59
False,590,393,60
False,591,394,61
False,592,395,62
False,593,395,63
False,594,396,64
False,595,397,65
False,596,397,66
False,597,398,67
False,598,399,68
True,599,399,69
False,600,400,70
False,601,401,71
False,602,401,72
False,603,402,73
False,604,403,74
False,605,403,75
False,606,404,76
False,607,405,77
False,608,405,78
False,609,406,79
False,610,407,80
False,611,407,81
False,612,408,82
False,613,409,83
False,614,409,84
False,615,410,85
False,616,411,86
False,617,411,87
False,618,412,88
False,619,413,89
False,620,413,90
False,621,414,91
False,622,415,92
False,623,415,93
False,624,416,94
True,625,417,95
True,626,417,96
False,627,418,97
False,628,419,98
False,629,419,99
False,630,420,100
False,631,421,101
False,632,421,102
False,633,422,103
False,634,423,104
True,635,423,105
False,636,424,106
False,637,425,107
False,638,425,108
True,639,426,109
False,640,427,110
False,641,427,111
False,642,428,112
False,643,429,113
False,644,429,114
False,645,430,115
False,646,431,116
False,647,431,117
False,648,432,118
False,649,433,119
False,650,433,120
False,651,434,121
False,652,435,122
False,653,435,123
False,654,436,124
False,655,437,125
False,656,437,126
False,657,438,127
False,658,439,128
False,659,439,129
False,660,440,130
False,661,441,131
False,662,441,132
False,663,442,133
False,664,443,134
False,665,443,135
False,666,444,136
False,667,445,137
False,668,445,138
False,669,446,139
False,670,447,140
False,671,447,141
False,672,448,142
False,673,449,143
False,674,449,144
False,675,450,145
False,676,451,146
False,677,451,147
False,678,452,148
False,679,453,149
False,680,453,150
False,681,454,151
False,682,455,152
False,683,455,153
False,684,456,154
False,685,457,155
False,686,457,156
