debugwkDIO:debugwwdu9,initialized,0,,1653090559300
debugwkDIO:debugwwdu9,window_resize,1,"[1024, 767]",1653090559301
debugwkDIO:debugwwdu9,window_resize,14168,"[1440, 871]",1653090573469
debugwkDIO:debugwwdu9,focus,3376,off,1653090576845
debugwkDIO:debugwwdu9,focus,21210,on,1653090598055
debugwkDIO:debugwwdu9,focus,28146,off,1653090626201
debugwkDIO:debugwwdu9,focus,14216,on,1653090640417
debugvCFzo:debugYmblS,initialized,0,,1663855083321
debugvCFzo:debugYmblS,window_resize,0,"[1024, 746]",1663855083321
debugvCFzo:debugYmblS,focus,497,on,1663855083818
debugvCFzo:debugYmblS,focus,36182,off,1663855120000
debugvCFzo:debugYmblS,focus,1041,on,1663855121041
debugPNq6U:debugWGaha,initialized,0,,1652716495441
debugPNq6U:debugWGaha,window_resize,0,"[1024, 767]",1652716495441
debugPNq6U:debugWGaha,window_resize,5716,"[1440, 433]",1652716501157
debugPNq6U:debugWGaha,window_resize,32792,"[1440, 871]",1652716533949
debugPNq6U:debugWGaha,focus,7390,off,1652716541339
debugPNq6U:debugWGaha,focus,16297,on,1652716557636
debugPNq6U:debugWGaha,focus,4324,off,1652716561960
debugPNq6U:debugWGaha,focus,24998,on,1652716586958
debugPNq6U:debugWGaha,focus,36711,off,1652716623669
debugPNq6U:debugWGaha,focus,35756,on,1652716659425
debugPNq6U:debugWGaha,focus,38765,off,1652716698190
debugPNq6U:debugWGaha,focus,6879,on,1652716705069
debugPNq6U:debugWGaha,focus,22093,off,1652716727162
debugPNq6U:debugWGaha,focus,28014,on,1652716755176
debugPNq6U:debugWGaha,focus,71225,off,1652716826401
debugPNq6U:debugWGaha,focus,46633,on,1652716873034
debugPNq6U:debugWGaha,focus,12275,off,1652716885309
debugPNq6U:debugWGaha,focus,4335,on,1652716889644
debugPNq6U:debugWGaha,focus,7295,off,1652716896939
debugPNq6U:debugWGaha,focus,8039,on,1652716904978
debugzrQNI:debugtmwR1,initialized,0,,1663855193693
debugzrQNI:debugtmwR1,window_resize,0,"[1024, 700]",1663855193693
debugzrQNI:debugtmwR1,focus,14321,off,1663855208014
debugzrQNI:debugtmwR1,focus,14331,on,1663855222345
debugzrQNI:debugtmwR1,window_resize,11649,"[1366, 714]",1663855233994
debugzrQNI:debugtmwR1,focus,7756,off,1663855241750
debugzrQNI:debugtmwR1,focus,5231,on,1663855246981
debugzrQNI:debugtmwR1,focus,825504,off,1663856072485
debugzrQNI:debugtmwR1,focus,11551,on,1663856084036
debugFXZHk:debugkHtOy,initialized,0,,1663856532033
debugFXZHk:debugkHtOy,window_resize,0,"[1366, 676]",1663856532033
debugFXZHk:debugkHtOy,window_resize,48256,"[1366, 768]",1663856580289
debugFXZHk:debugkHtOy,window_resize,9678,"[1366, 676]",1663856589967
debugFXZHk:debugkHtOy,focus,2029,off,1663856591996
debugFXZHk:debugkHtOy,focus,7233,on,1663856599229
debugFXZHk:debugkHtOy,focus,933720,off,1663857532949
debugFXZHk:debugkHtOy,focus,137,on,1663857533086
debugFXZHk:debugkHtOy,focus,553576,off,1663858086662
debugFXZHk:debugkHtOy,focus,2160,on,1663858088822
debugFXZHk:debugkHtOy,focus,511041,off,1663858599863
debugFXZHk:debugkHtOy,focus,1695,on,1663858601558
debugKeV75:debugTS8II,initialized,0,,1652719784764
debugKeV75:debugTS8II,window_resize,0,"[1024, 767]",1652719784764
debugKeV75:debugTS8II,focus,17562,off,1652719802326
debugKeV75:debugTS8II,focus,6516,on,1652719808842
debugKeV75:debugTS8II,window_resize,29724,"[1440, 871]",1652719838566
debugKeV75:debugTS8II,focus,131088,off,1652719969654
debugKeV75:debugTS8II,focus,5388,on,1652719975042
debugKeV75:debugTS8II,window_resize,278820,"[714, 871]",1652720253862
debugKeV75:debugTS8II,focus,4131,off,1652720257993
debugKeV75:debugTS8II,focus,4090,on,1652720262083
debugKeV75:debugTS8II,window_resize,277,"[1440, 871]",1652720262360
debugnJ4cf:debugwwnPJ,initialized,0,,1653085621483
debugnJ4cf:debugwwnPJ,window_resize,1,"[1024, 767]",1653085621484
debugnJ4cf:debugwwnPJ,focus,21282,off,1653085642766
debugnJ4cf:debugwwnPJ,window_resize,972,"[1440, 871]",1653085643738
debugnJ4cf:debugwwnPJ,focus,1689,on,1653085645427
debugnJ4cf:debugwwnPJ,focus,257805,off,1653085903232
debugnJ4cf:debugwwnPJ,focus,17898,on,1653085921130
debugnJ4cf:debugwwnPJ,focus,295520,off,1653086216650
debugnJ4cf:debugwwnPJ,focus,12933,on,1653086229583
debugnJ4cf:debugwwnPJ,focus,1251693,off,1653087481276
debugnJ4cf:debugwwnPJ,focus,7578,on,1653087488854
debugnJ4cf:debugwwnPJ,focus,295517,off,1653087784371
debugnJ4cf:debugwwnPJ,focus,6377,on,1653087790748
debugJxxED:debugnYBk4,initialized,0,,1663795357763
debugJxxED:debugnYBk4,window_resize,1,"[1028, 758]",1663795357764
debugJxxED:debugnYBk4,focus,15524,off,1663795373288
debugJxxED:debugnYBk4,focus,236486,on,1663795609774
debugJxxED:debugnYBk4,focus,3015,off,1663795612789
debugJxxED:debugnYBk4,focus,1973221,on,1663797586010
debugJxxED:debugnYBk4,focus,9507,off,1663797595517
debugJxxED:debugnYBk4,focus,120424,on,1663797715941
debugJxxED:debugnYBk4,focus,6476,off,1663797722417
debugJxxED:debugnYBk4,focus,476333,on,1663798198750
