offset,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
7,80.53289855072464,58.6913768115942,70.76543689320388,37.70625,10.1875,7.210817307692308,83.43730769230768,65.56971153846153,53.394903846153845,6.939038461538461,4.170144230769231,2.894615384615385,0.7863942307692308,0.25038461538461537,0.0,0.23875,2.768701923076923,18.57110576923077,16.446201923076924,0.43711538461538463,11.911105769230769,14.10764423076923,2.26625,1.0570673076923076,0.5127884615384615,25.16394230769231,1.577403846153846,1.7379807692307692,0.9052403846153846,0.7863942307692308,0.06870192307692308,0.05014423076923077,4.907644230769231,0.13245192307692305,4.775192307692308,2.1852884615384616,0.15197115384615384,0.2776442307692308,1.3699999999999999,0.12879807692307693,0.9199519230769231,0.0,0.3622596153846154,0.163125,0.19913461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.175961538461538,0.6270192307692308,0.0,0.0,0.021875,0.0,0.44543269230769234,5.545625,0.0,0.0,0.074375,0.11134615384615384,0.45552884615384615,0.0,0.0,0.45552884615384615,1.4571634615384614,1.1229807692307692,0.02826923076923077,0.06951923076923076,0.23639423076923077,0.0,0.04807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4663942307692307,0.09711538461538462,0.026730769230769228,0.0,0.0,0.0,0.0,13.472163461538461,11.772548076923076,0.034326923076923074,2.0157692307692305,6.010673076923077,4.361586538461538,0.0,0.025288461538461537,11.544086538461539,0.47899038461538457,1.473173076923077,10.463461538461539,0.053413461538461535,0.053413461538461535,0.0,0.0,0.0,8.459471153846154,7.336394230769231,0.22552884615384614,0.08774038461538461,0.0,0.5186057692307693,0.2911057692307692,0.0
10,81.17466666666665,68.62833333333333,65.15758620689655,49.825,11.0,7.358333333333333,80.913,64.71,53.59,6.876666666666667,4.981,2.0536666666666665,1.8306666666666667,0.0,0.0,0.8583333333333333,1.8956666666666666,18.122333333333334,16.398,0.13333333333333333,14.612,13.191666666666666,1.6326666666666665,0.5753333333333333,0.0,23.191,1.6243333333333334,0.9919999999999999,1.8306666666666667,1.8306666666666667,0.0,0.0,4.989333333333334,0.3703333333333333,4.619,2.9703333333333335,0.0,0.0,1.6486666666666667,0.0,0.13333333333333333,0.0,0.37133333333333335,0.238,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.236999999999999,0.25633333333333336,0.0,0.0,0.0,0.0,0.25633333333333336,5.980333333333333,0.0,0.0,0.0,0.303,0.25633333333333336,0.0,0.0,0.25633333333333336,2.1719999999999997,1.1873333333333334,0.985,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.024000000000001,17.183333333333334,0.6890000000000001,2.0683333333333334,7.768333333333333,5.819333333333334,1.898,0.0,8.692333333333332,0.3703333333333333,0.866,10.513,0.0,0.0,0.0,0.0,0.0,7.008,6.064666666666667,0.5926666666666667,0.0,0.0,0.0,0.351,0.0
20,86.91606060606061,71.07666666666667,71.94758620689655,96.16666666666667,11.121212121212121,5.098484848484849,86.31333333333333,71.40939393939395,57.28757575757576,6.055454545454545,2.6357575757575757,1.2515151515151515,0.0,0.0,1.3842424242424243,0.0,3.419090909090909,22.28848484848485,20.168181818181818,0.0,14.312121212121212,13.19878787878788,0.9827272727272727,3.753636363636364,0.10818181818181817,26.37818181818182,0.9612121212121212,1.7133333333333334,0.9615151515151515,0.7451515151515151,0.21636363636363634,0.0,5.628181818181818,0.0,5.628181818181818,1.2515151515151515,0.4448484848484848,0.41848484848484846,1.3633333333333333,0.0,2.5827272727272725,0.0,0.636969696969697,0.636969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.543333333333333,0.21636363636363634,0.0,0.0,0.0,0.0,0.10818181818181817,9.822121212121212,0.10818181818181817,0.0,0.21636363636363634,7.183636363636364,0.433030303030303,0.0,0.0,0.433030303030303,0.10818181818181817,0.0,0.10818181818181817,0.0,0.0,0.0,0.10818181818181817,0.0,0.0,0.0,0.0,0.0,0.0,0.10818181818181817,0.0,0.0,0.0,3.3793939393939394,0.0,0.0,0.0,0.0,0.0,0.0,9.469999999999999,13.040909090909091,0.0,6.058787878787879,9.432727272727272,0.3787878787878788,0.0,0.20212121212121212,5.633636363636364,0.6203030303030302,4.684848484848485,10.270303030303031,0.433030303030303,0.433030303030303,0.0,0.0,0.0,6.916363636363637,6.132121212121213,0.1781818181818182,0.0,0.0,0.6060606060606061,0.0,0.0
30,77.71596153846154,67.8202380952381,58.8782,59.765,11.057692307692308,6.562115384615385,85.98192307692308,69.13596153846154,53.96230769230769,7.3876923076923084,4.694423076923077,2.0709615384615385,0.3226923076923077,0.0,2.0157692307692305,0.0,2.693269230769231,19.00846153846154,16.306923076923077,0.2403846153846154,12.930192307692307,12.034807692307691,2.2215384615384615,3.6873076923076926,0.3590384615384616,26.322499999999998,2.383846153846154,1.0811538461538461,0.7886538461538461,0.3226923076923077,0.19134615384615383,0.2746153846153846,6.925961538461538,0.0,6.812884615384615,2.2632692307692306,0.26557692307692304,1.0867307692307693,1.2832692307692308,0.1748076923076923,1.1534615384615385,0.0,3.009807692307692,2.061923076923077,0.8103846153846154,0.3776923076923077,0.0,0.2403846153846154,0.0,0.0,0.0,0.0,9.584423076923077,0.4176923076923077,0.0,0.0,0.1373076923076923,0.0,0.1201923076923077,8.571153846153846,0.0,0.0,0.0,6.437115384615385,0.25653846153846155,0.0,0.0,0.25653846153846155,0.40807692307692306,0.12826923076923077,0.0,0.1373076923076923,0.2798076923076923,0.0,2.389423076923077,0.4326923076923077,0.0,0.0,0.0,0.0,0.0,1.9567307692307692,0.0,0.0,0.1601923076923077,0.6453846153846154,0.3394230769230769,0.1201923076923077,0.2403846153846154,0.0,0.0,0.2403846153846154,8.655,15.16230769230769,0.335,6.018461538461538,7.564038461538461,1.396346153846154,0.4042307692307693,1.2575,5.936923076923078,0.6055769230769231,2.596538461538462,11.607115384615385,0.0,0.0,0.0,0.0,0.0,8.385384615384616,6.617307692307692,0.3648076923076923,0.0,0.0,1.4026923076923077,0.0,0.0
40,88.01206896551724,88.79862068965517,51.7992,33.666666666666664,13.4,8.273333333333333,94.61,69.67366666666666,53.586666666666666,9.914,6.861666666666666,1.949,0.0,0.0,3.6169999999999995,0.3303333333333333,3.0526666666666666,22.298,18.671666666666667,0.6666666666666666,11.361666666666668,9.482333333333335,0.881,2.1493333333333333,0.0,24.84333333333333,1.788,1.6636666666666668,0.6666666666666666,0.6666666666666666,0.0,0.0,8.168333333333333,0.0,8.168333333333333,1.965,3.1959999999999997,0.196,2.2516666666666665,0.0,0.6996666666666667,0.0,2.3996666666666666,1.037,1.1773333333333333,1.0106666666666666,0.0,0.8253333333333333,0.15866666666666665,0.0,0.0,0.0,21.920333333333335,6.819,0.6666666666666666,0.5479999999999999,0.0,0.0,5.445666666666667,15.65,0.0,0.0,8.352666666666666,4.777,5.3566666666666665,0.0,0.0,5.3566666666666665,0.303,0.0,0.0,0.0,0.303,0.0,0.9136666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.247,0.0,0.0,0.0,2.972,0.12333333333333334,0.0,0.6666666666666666,0.0,0.0,0.0,10.855333333333332,11.763666666666667,0.9306666666666666,3.8433333333333333,7.2796666666666665,1.0786666666666667,0.16666666666666666,0.0,2.719333333333333,0.20833333333333334,2.944,8.763666666666666,0.0,0.0,0.0,0.0,0.0,7.251666666666666,6.235666666666666,0.12333333333333334,0.0,0.0,0.5890000000000001,0.303,0.0
50,81.33258064516129,87.75,47.81444444444445,86.4675,11.84375,8.660625,95.081875,68.77375,53.410625,8.38,5.244375,2.0324999999999998,0.0,0.0,3.046875,0.0,3.1353125,21.0878125,19.415937500000002,0.0,10.7934375,9.8578125,1.6053125000000001,3.6209375,0.348125,24.8403125,1.6084375,0.6309375,2.6203125,0.6509375,0.223125,1.74625,7.6671875,0.810625,6.85625,2.3806249999999998,0.8690625,0.43156249999999996,2.276875,0.0,1.20125,0.0,3.7043749999999998,3.4959375,0.2084375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6778125,8.2621875,0.6509375,2.6225,0.0,0.0,4.3746875,17.0375,0.0,0.0,6.6071875,6.313124999999999,3.5718750000000004,0.0,0.0,3.5718750000000004,0.660625,0.0,0.164375,0.18375,0.3125,0.0,2.0078125,0.0,0.0,0.0,0.0,0.0,0.0,1.8125,0.0,0.0,0.0,1.60625,0.0,0.0,0.0,0.0,0.2084375,0.2084375,8.174375,12.2103125,0.6415625,5.3775,6.671875,1.35,0.5071875,0.4584375,2.4334375,0.348125,5.965,7.6178125,0.868125,0.5209375,0.3471875,0.0,0.0,9.3203125,8.6746875,0.2084375,0.0,0.0,0.4375,0.0,0.0
60,74.45233333333334,83.47321428571429,56.56925925925926,57.779999999999994,14.033333333333333,7.705333333333333,94.77166666666668,68.97066666666666,56.065333333333335,10.421,6.451333333333333,1.5650000000000002,0.0,0.0,4.664,0.22233333333333333,3.969666666666667,21.509,16.109666666666666,0.0,12.612333333333334,11.442,0.7780000000000001,5.0873333333333335,0.45466666666666666,23.906,1.323,0.3416666666666667,1.740333333333333,1.2959999999999998,0.44466666666666665,0.0,6.500333333333333,0.0,6.500333333333333,1.7733333333333334,0.9093333333333333,1.1709999999999998,2.051,0.0,1.5943333333333334,0.0,2.6476666666666664,1.8396666666666666,0.8079999999999999,0.3476666666666667,0.0,0.3476666666666667,0.3476666666666667,0.0,0.0,0.0,21.441666666666666,8.018333333333334,1.2959999999999998,1.6753333333333333,0.0,0.0,4.547666666666667,14.965,0.0,0.0,8.724333333333334,5.095333333333333,5.042666666666666,0.0,0.0,5.042666666666666,0.5556666666666668,0.0,0.0,0.0,0.5556666666666668,0.0,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.392,0.0,0.0,0.0,1.2423333333333333,0.0,0.0,0.0,0.0,0.4603333333333333,0.0,4.133666666666667,15.589666666666666,0.7936666666666666,7.3886666666666665,7.892666666666667,0.3333333333333333,0.22233333333333333,0.0,2.4699999999999998,0.15166666666666667,5.01,9.063666666666666,0.15166666666666667,0.0,0.15166666666666667,0.0,0.0,6.242999999999999,4.417333333333333,0.5036666666666666,0.22233333333333333,0.0,1.1003333333333332,0.0,0.0
70,65.05966666666667,92.47633333333333,18.1664,61.81222222222223,12.933333333333334,2.7849999999999997,97.907,74.288,58.307,13.706,11.519,1.597,0.0,0.0,9.922,0.0,2.187,18.978,15.554333333333334,0.0,11.502,13.377,0.23099999999999998,3.977333333333333,0.07933333333333333,31.098333333333336,0.58,0.43366666666666664,2.0536666666666665,1.459666666666667,0.17733333333333334,0.4166666666666667,11.322666666666667,0.0,11.243333333333334,2.6683333333333334,2.9069999999999996,1.5719999999999998,4.667333333333333,0.0,2.489,0.0,3.0566666666666666,2.239,0.8176666666666667,0.098,0.0,0.098,0.098,0.0,0.0,0.0,35.660666666666664,18.072,1.936,2.4716666666666667,0.4166666666666667,0.0,12.747666666666667,20.060333333333332,0.0,0.0,11.822666666666667,8.103,4.694333333333334,0.0,0.0,4.694333333333334,1.0926666666666667,0.0,0.0,0.0,1.0926666666666667,0.0,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.303,0.0,0.23099999999999998,0.25633333333333336,0.7446666666666667,0.0,0.0,0.15866666666666665,0.0,0.196,0.0,3.479,3.4223333333333334,0.415,1.6303333333333332,1.6956666666666667,0.25633333333333336,0.098,0.0,2.533333333333333,0.0,7.268333333333333,11.354999999999999,0.0,0.0,0.0,0.0,0.0,6.522,4.810333333333333,0.49766666666666665,0.0,0.0,1.2143333333333333,0.0,0.0
80,69.24060606060607,93.0653125,26.6678125,59.615,11.318181818181818,2.9233333333333333,97.12060606060606,69.00727272727273,57.198181818181816,15.849696969696968,13.687272727272727,0.9157575757575758,0.5051515151515152,0.0,12.266363636363637,0.0,2.162121212121212,19.766969696969696,14.066666666666666,0.0,13.796060606060605,9.86969696969697,0.3190909090909091,4.212424242424242,0.0,21.09060606060606,0.5478787878787879,0.433030303030303,0.8927272727272727,0.7806060606060606,0.0,0.11212121212121212,3.818484848484849,0.0,3.818484848484849,1.075151515151515,2.3466666666666667,0.0,0.27545454545454545,0.0,0.0,0.0,0.5178787878787878,0.39666666666666667,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.687272727272727,11.097272727272726,0.27545454545454545,0.5318181818181819,0.0,0.0,10.29030303030303,19.12090909090909,0.0,0.0,12.857272727272727,5.04969696969697,11.43,0.0,0.0,11.43,0.0,0.0,0.0,0.0,0.0,0.0,0.16848484848484846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53030303030303,0.11212121212121212,0.0,0.0,0.0,0.24242424242424243,0.0,5.588787878787879,13.648181818181818,0.0,7.399090909090909,6.386969696969697,0.12121212121212122,0.0,0.15151515151515152,1.124848484848485,0.3924242424242424,5.462727272727272,8.287575757575757,0.0,0.0,0.0,0.0,0.0,7.903636363636363,6.536060606060606,0.0,0.0,0.0,1.367878787878788,0.0,0.0
90,69.89057692307692,79.67020408163266,53.491020408163266,16.094615384615384,13.211538461538462,10.763269230769232,94.88807692307692,70.44153846153846,56.777884615384615,12.865961538461537,8.016153846153845,2.1711538461538464,0.0,0.0,5.062307692307693,0.34019230769230774,4.849615384615385,17.998846153846152,13.982115384615383,0.0,13.406923076923077,11.71096153846154,0.6738461538461539,4.648076923076923,0.23134615384615384,26.267884615384617,1.4613461538461539,0.5642307692307692,0.5144230769230769,0.1601923076923077,0.28307692307692306,0.07115384615384615,9.547115384615385,0.0,9.547115384615385,2.3223076923076924,0.15134615384615385,0.9690384615384615,3.6309615384615386,0.0,2.0996153846153844,0.0,2.2444230769230766,0.3203846153846154,1.7867307692307692,1.2971153846153847,0.0,1.1598076923076923,0.38461538461538464,0.7751923076923077,0.0,0.0,22.629807692307693,6.904807692307693,0.1601923076923077,0.6159615384615384,0.3034615384615385,0.0,5.572692307692307,16.341346153846153,0.0,0.0,8.74846153846154,3.888076923076923,5.534230769230769,0.0,0.0,5.534230769230769,0.2725,0.0,0.0,0.2725,0.0,0.0,0.755576923076923,0.755576923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5538461538461539,0.22807692307692307,1.8482692307692308,0.0,0.0,0.0,0.0,0.6167307692307692,0.0,5.985,14.245000000000001,0.4630769230769231,6.564423076923077,8.781538461538462,0.8426923076923077,0.07115384615384615,0.0,2.4840384615384616,0.41423076923076924,4.970961538461538,11.049615384615386,0.2748076923076923,0.0,0.0,0.1373076923076923,0.1373076923076923,7.895961538461538,6.506346153846153,0.4971153846153846,0.0,0.0,0.7638461538461538,0.12826923076923077,0.0
